"Item ID","Upgrades","Name","Item Name Option","Item Name Time","Mesh File Name","Item Description"
"3010100","Not unlimited/Not Upgradable","Folding Shovel","0","Sword/WPN_KNIFE_005_01.kfm","This everyday gardening tool  increases movement speed so you can whack more enemies.",""
"3010101","Not unlimited/Not Upgradable","Blue Folding Shovel","0","Sword/WPN_KNIFE_KNIFE_005_L0.kfm","This everyday gardening tool  increases movement speed so you can whack more enemies.",""
"3010102","Not unlimited/Not Upgradable","Slauj test Sword","0","Sword/WPN_KNIFE_098_01.kfm","This everyday gardening tool  increases movement speed so you can whack more enemies.",""
"3010080","Not unlimited/Not Upgradable","Black Steel Hammer","0","Sword/WPN_KNIFE_004_01.kfm","Special Edition (Beta 2017)",""
"3010090","Not unlimited/Not Upgradable","White Steel Hammer","0","Sword/WPN_KNIFE_004_01.kfm","Special Edition (Beta 2017)",""
"3010000","Not unlimited/Not Upgradable","Steel Hammer","0","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010010","Not unlimited/Not Upgradable","Steel Hammer","0","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010020","Not unlimited/Not Upgradable","Steel Hammer","0","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010030","Not unlimited/Not Upgradable","Steel Hammer","0","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010040","Not unlimited/Not Upgradable","Steel Hammer","0","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010050","Power - Level 0","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010051","Power - Level 1","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010052","Power - Level 2","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010053","Power - Level 3","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010054","Power - Level 4","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010055","Power - Level 5","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010056","Power - Level 6","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010057","Power - Level 7","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010058","Power - Level 8","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010059","Power - Level 9","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010061","Run Speed - Level 1","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010062","Run Speed - Level 2","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010063","Run Speed - Level 3","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010064","Run Speed - Level 4","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010065","Run Speed - Level 5","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010066","Run Speed - Level 6","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010067","Run Speed - Level 7","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010068","Run Speed - Level 8","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010069","Run Speed - Level 9","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010071","Range - Level 1","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010072","Range - Level 2","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010073","Range - Level 3","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010074","Range - Level 4","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010075","Range - Level 5","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010076","Range - Level 6","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010077","Range - Level 7","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010078","Range - Level 8","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010079","Range - Level 9","Steel Hammer","1","Sword/WPN_KNIFE_004_01.kfm","Be the handyman of the battlefield and nail your opponents to the ground.",""
"3010280","Not unlimited/Not Upgradable","Black Mad Wrench","0","Sword/WPN_KNIFE_003_01.kfm","Special Edition (Beta 2017)",""
"3010290","Not unlimited/Not Upgradable","White Mad Wrench","0","Sword/WPN_KNIFE_003_01.kfm","Special Edition (Beta 2017)",""
"3010200","Not unlimited/Not Upgradable","Mad Wrench","0","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010210","Not unlimited/Not Upgradable","Mad Wrench","0","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010220","Not unlimited/Not Upgradable","Mad Wrench","0","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010230","Not unlimited/Not Upgradable","Mad Wrench","0","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010240","Not unlimited/Not Upgradable","Mad Wrench","0","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010250","Power - Level 0","Mad Wrench","1","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010251","Power - Level 1","Mad Wrench","1","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010252","Power - Level 2","Mad Wrench","1","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010253","Power - Level 3","Mad Wrench","1","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010254","Power - Level 4","Mad Wrench","1","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
"3010255","Power - Level 5","Mad Wrench","1","Sword/WPN_KNIFE_003_01.kfm","That's not how this tool is supposed to be used, but when you're mad anything is game.",""
